mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8125087738037109,0.3186527734182843,0.3537200927734375,0.2303781633564515,,1,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9352647162288932,0.9372801360225141,0.9375618619905157,0.9448818897637795,0.9434328007518796,0.9396842809515163,0.0037652002730837178,2
1.4191771030426026,0.18079947417610934,0.5277454853057861,0.13457043748660796,,1,2,400,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9361734873358348,0.9354479362101313,0.9357004623952963,0.9448080247004772,0.9445195018796992,0.9393298825042878,0.004362275071588614,4
1.644054889678955,0.6861364665874393,0.6539999485015869,0.20087933170685912,,1,4,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.932780253283302,0.9281337945590994,0.9298134168500982,0.9436852757382813,0.9397615131578947,0.9348348507177352,0.005948820861135572,5
1.9263059139251708,0.2670273581953594,0.560142707824707,0.16143756976162388,,1,4,400,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9319740853658537,0.9304350375234521,0.9282917965460697,0.9422522935102156,0.9400845864661654,0.9346075598823512,0.00552582608892606,7
1.246176290512085,0.34598663029611476,1.003337287902832,0.716576330454953,,2,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9227397983114447,0.922329385553471,0.9241848990264585,0.9274054157864413,0.9339755639097744,0.9261270125175181,0.004310477220051652,13
3.319242525100708,0.3845576040371415,0.6845340728759766,0.34581630084648635,,2,2,400,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9260084427767353,0.9246599437148217,0.9224712295578437,0.9266076731027758,0.9332706766917295,0.9266035931687812,0.003623766701923834,9
2.422157907485962,0.5457304251912788,0.6613326072692871,0.32760265157001,,2,4,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.9227397983114447,0.922329385553471,0.9241848990264585,0.9274054157864413,0.9339755639097744,0.9261270125175181,0.004310477220051652,13
4.081128406524658,0.7864918672322869,1.501573419570923,0.25843313644489246,,2,4,400,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9260084427767353,0.9246599437148217,0.9224712295578437,0.9266076731027758,0.9332706766917295,0.9266035931687812,0.003623766701923834,9
1.648449420928955,0.24843684813093703,1.4837181091308593,0.3315347820052582,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9156015478424016,0.9021312148217636,0.9069004742137065,0.9096482545685541,0.9273966165413534,0.9123356215975559,0.008699339391154165,18
4.817794275283814,0.3167918273718694,0.85926513671875,0.34972586034784353,10,1,2,400,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9139452392120077,0.9044617729831145,0.906915247226367,0.9117460223663412,0.9274553571428571,0.9129047277861375,0.008016276444030865,17
2.6213748455047607,0.15198927751864777,0.6238422870635987,0.11501556499028441,10,1,4,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.9119078330206379,0.903875469043152,0.9070186583149902,0.9142131154806399,0.9220365366541353,0.9118103225027111,0.006265466038200891,19
3.9879504680633544,0.35258250380637246,0.9414491653442383,0.27317184470266315,10,1,4,400,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.911233583489681,0.9033038227016885,0.9052606698083939,0.9147301709237565,0.9210673167293233,0.9111191127305686,0.006440803045242281,20
2.6088220119476317,0.5135297416760809,1.3177839756011962,0.2558096291637057,10,2,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.9117905722326455,0.9004162757973734,0.9008435390229128,0.9143756186199051,0.9208617246240601,0.9096575460593794,0.00794268748907817,23
4.286879444122315,0.5144420415522256,0.7678533554077148,0.30575018883834065,10,2,2,400,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9127872889305817,0.8989944887429645,0.9029560798333603,0.9132380966450488,0.9210526315789473,0.9098057171461807,0.00788624466386189,21
2.3362941265106203,0.11501193019336249,0.6240628719329834,0.23389132076623353,10,2,4,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 200}",0.9117905722326455,0.9004162757973734,0.9008435390229128,0.9143756186199051,0.9208617246240601,0.9096575460593794,0.00794268748907817,23
4.212618589401245,0.5127527908631379,1.1397809982299805,0.8480430195357597,10,2,4,400,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9127872889305817,0.8989944887429645,0.9029560798333603,0.9132380966450488,0.9210526315789473,0.9098057171461807,0.00788624466386189,21
